iter	RMSE
0	15.70211472
1	15.4300675
2	15.13690007
3	14.84239963
4	14.56909516
5	14.28029412
6	14.02162092
7	13.77521319
8	13.55484254
9	13.30376638
10	13.0602946
11	12.83767241
12	12.61249596
13	12.38874094
14	12.19128386
15	12.01285344
16	11.82289007
17	11.63226166
18	11.44613569
19	11.26549175
20	11.07828514
21	10.90274996
22	10.74341064
23	10.59186012
24	10.43846821
25	10.30988664
26	10.15789869
27	10.02030475
28	9.882806385
29	9.742903431
30	9.609020761
31	9.488785118
32	9.36488254
33	9.258425642
34	9.131332337
35	9.022143365
36	8.899516342
37	8.79884726
38	8.680024033
39	8.587072222
40	8.491664015
41	8.394990415
42	8.309607954
43	8.22488628
44	8.126987929
45	8.033952242
46	7.94664725
47	7.865854717
48	7.769054758
49	7.690004224
50	7.612740497
51	7.538377066
52	7.452046591
53	7.380655282
54	7.321528881
55	7.243388078
56	7.179253605
57	7.100318507
58	7.02353993
59	6.970318644
60	6.913221919
61	6.857935936
62	6.798809482
63	6.750103809
64	6.691360297
65	6.632810121
66	6.577707067
67	6.525918524
68	6.476110395
69	6.425518167
70	6.379810712
71	6.34069645
72	6.306591527
73	6.26349709
74	6.215947936
75	6.17328746
76	6.1364535
77	6.088324757
78	6.044879399
79	5.999689559
80	5.966616624
81	5.930471339
82	5.885055693
83	5.849050159
84	5.813482927
85	5.783630943
86	5.761392015
87	5.73234591
88	5.69797385
89	5.675948189
90	5.643182583
91	5.611410339
92	5.578827014
93	5.543819836
94	5.519024067
95	5.492403393
96	5.462413624
97	5.432154285
98	5.403758879
99	5.375173646
100	5.348809047
101	5.328449618
102	5.312042077
103	5.29210056
104	5.269575297
105	5.249533672
106	5.231417793
107	5.211917988
108	5.182963417
109	5.16005789
110	5.14542257
111	5.131483108
112	5.109288709
113	5.085779318
114	5.07172166
115	5.04873391
116	5.032184625
117	5.019227302
118	5.002324551
119	4.982660957
120	4.965685457
121	4.95281607
122	4.935579513
123	4.918632474
124	4.901471836
125	4.880971164
126	4.864629808
127	4.845824819
128	4.834197607
129	4.818178953
130	4.803718473
131	4.788559912
132	4.773067056
133	4.761023959
134	4.746851176
135	4.729597136
136	4.721922504
137	4.702108442
138	4.688279607
139	4.674294037
140	4.661640898
141	4.647180877
142	4.637535203
143	4.626771585
144	4.615303653
145	4.603831669
146	4.589240447
147	4.581473059
148	4.566339387
149	4.555447131
150	4.543265331
151	4.53218988
152	4.521602744
153	4.505854908
154	4.497124932
155	4.481720701
156	4.471831147
157	4.459937266
158	4.448257837
159	4.436305374
160	4.428897521
161	4.421575762
162	4.412785001
163	4.401960311
164	4.389784377
165	4.381577701
166	4.369548969
167	4.357396518
168	4.351196754
169	4.340310534
170	4.330522061
171	4.319813232
172	4.311237712
173	4.303703864
174	4.294717134
175	4.283290755
176	4.272098109
177	4.261487155
178	4.250662739
179	4.240487994
180	4.229783818
181	4.218516414
182	4.209000367
183	4.199223808
184	4.191774571
185	4.184872697
186	4.176822247
187	4.16430657
188	4.153972418
189	4.144679287
190	4.133695982
191	4.121184959
192	4.110893138
193	4.103177379
194	4.096767681
195	4.085870888
196	4.077236767
197	4.068537375
198	4.059984145
199	4.053407743
200	4.043963286
201	4.035851698
202	4.026673771
203	4.018863158
204	4.010378348
205	4.003848032
206	3.998477388
207	3.989274794
208	3.982516768
209	3.974062847
210	3.968024697
211	3.961720059
212	3.953637781
213	3.944539338
214	3.93736927
215	3.933366394
216	3.925326336
217	3.916127698
218	3.907362012
219	3.898952569
220	3.889586047
221	3.88049772
222	3.874039912
223	3.867546911
224	3.861608955
225	3.855110231
226	3.84862424
227	3.841681306
228	3.834557455
229	3.824756317
230	3.816620338
231	3.811265397
232	3.803150901
233	3.798513752
234	3.792484603
235	3.781500336
236	3.774160037
237	3.767355535
238	3.76110892
239	3.753834572
240	3.746934191
241	3.740042502
242	3.73714796
243	3.733904216
244	3.726743404
245	3.721822627
246	3.718596789
247	3.712382508
248	3.703067489
249	3.698036267
250	3.691149428
251	3.684287346
252	3.677480644
253	3.671309117
254	3.663444439
255	3.655081705
256	3.648148423
257	3.642821783
258	3.636284496
259	3.627470442
260	3.623481493
261	3.618434947
