iter	Passed	Remaining
0	2	2661
1	5	2936
2	8	2730
3	10	2725
4	13	2596
5	15	2543
6	19	2725
7	21	2667
8	23	2596
9	25	2566
10	27	2508
11	29	2464
12	33	2507
13	35	2491
14	37	2442
15	38	2370
16	40	2316
17	41	2276
18	43	2261
19	45	2229
20	48	2264
21	50	2264
22	52	2233
23	54	2205
24	56	2192
25	58	2179
26	59	2156
27	62	2177
28	65	2186
29	67	2170
30	69	2157
31	70	2147
32	72	2134
33	74	2116
34	76	2121
35	80	2152
36	82	2148
37	84	2135
38	86	2131
39	88	2125
40	91	2141
41	95	2177
42	97	2169
43	99	2162
44	101	2152
45	103	2140
46	106	2155
47	109	2172
48	111	2160
49	113	2156
50	115	2145
51	116	2130
52	118	2116
53	121	2132
54	124	2135
55	126	2127
56	128	2119
57	129	2106
58	131	2093
59	132	2080
60	135	2090
61	137	2086
62	139	2077
63	141	2070
64	143	2059
65	144	2047
66	146	2037
67	148	2029
68	150	2033
69	153	2033
70	155	2028
71	156	2018
72	158	2007
73	160	2002
74	162	1999
75	165	2008
76	167	2008
77	169	2003
78	171	1994
79	172	1985
80	174	1975
81	175	1969
82	177	1961
83	180	1962
84	182	1967
85	184	1960
86	186	1953
87	187	1946
88	189	1940
89	191	1933
90	193	1931
91	196	1937
92	197	1930
93	199	1923
94	201	1917
95	203	1912
96	205	1912
97	206	1904
98	209	1910
99	211	1905
100	213	1897
101	214	1890
102	216	1886
103	218	1879
104	219	1872
105	221	1865
106	225	1881
107	227	1876
108	228	1869
109	230	1864
110	232	1860
111	233	1853
112	235	1845
113	237	1847
114	240	1852
115	242	1846
116	243	1840
117	245	1833
118	247	1831
119	249	1826
120	250	1819
121	254	1828
122	255	1825
123	257	1819
124	259	1816
125	261	1813
126	263	1807
127	264	1801
128	267	1805
129	269	1806
130	271	1802
131	273	1798
132	275	1792
133	276	1787
134	278	1782
135	279	1778
136	282	1780
137	284	1779
138	286	1775
139	288	1771
140	289	1765
141	291	1760
142	293	1756
143	294	1751
144	297	1751
145	299	1753
146	301	1748
147	302	1741
148	304	1737
149	306	1734
150	307	1729
151	309	1724
152	311	1724
153	314	1726
154	316	1722
155	317	1719
156	319	1714
157	321	1711
158	322	1706
159	324	1702
160	327	1704
161	329	1703
162	330	1699
163	332	1694
164	334	1690
165	335	1687
166	337	1683
167	339	1679
168	341	1680
169	343	1677
170	345	1672
171	346	1668
172	348	1665
173	349	1661
174	351	1656
175	354	1657
176	357	1662
177	359	1660
178	362	1662
179	364	1660
180	366	1656
181	367	1652
182	371	1657
183	372	1653
184	374	1649
185	376	1646
186	377	1642
187	379	1638
188	380	1633
189	383	1635
190	385	1634
191	387	1631
192	389	1628
193	391	1624
194	392	1620
195	394	1617
196	396	1614
197	398	1614
198	400	1613
199	402	1610
200	404	1607
201	405	1603
202	407	1599
203	409	1596
204	410	1592
205	413	1594
206	416	1594
207	417	1591
208	419	1587
209	420	1583
210	422	1581
211	424	1577
212	426	1575
213	428	1574
214	430	1572
215	432	1568
216	433	1564
217	435	1562
218	437	1559
219	438	1555
220	441	1554
221	444	1556
222	445	1553
223	447	1549
224	448	1546
225	450	1543
226	452	1540
227	453	1536
228	456	1536
229	459	1538
230	461	1536
231	463	1532
232	465	1531
233	466	1528
234	468	1524
235	471	1525
236	474	1526
237	475	1522
238	477	1519
239	479	1517
240	481	1515
241	483	1513
242	485	1513
243	488	1513
244	489	1509
245	491	1507
246	493	1503
247	494	1500
248	496	1497
249	498	1494
250	500	1494
251	503	1493
252	505	1491
253	507	1490
254	508	1487
255	510	1483
256	512	1481
257	514	1480
258	517	1479
259	519	1477
260	520	1474
261	522	1470
262	523	1468
263	525	1465
264	527	1461
265	529	1460
266	531	1459
267	533	1457
268	535	1454
269	536	1451
270	538	1448
271	541	1448
272	542	1444
273	545	1444
274	548	1445
275	550	1443
276	552	1442
277	554	1441
278	556	1438
279	559	1437
280	562	1438
281	563	1435
282	565	1432
283	567	1431
284	569	1428
285	571	1426
286	575	1430
287	577	1428
288	579	1426
289	581	1424
290	583	1421
291	585	1418
292	586	1416
293	589	1415
294	591	1413
295	593	1411
296	595	1408
297	596	1405
298	598	1402
299	599	1399
300	602	1399
301	605	1398
302	607	1396
303	608	1393
304	610	1390
305	611	1387
306	613	1384
307	614	1381
308	617	1381
309	620	1380
310	621	1377
311	623	1374
312	624	1371
313	626	1369
314	628	1366
315	629	1363
