iter	RMSE
0	16.07571328
1	15.75755021
2	15.5190687
3	15.22729226
4	14.93950872
5	14.66915505
6	14.38836464
7	14.17505227
8	13.94980762
9	13.70390546
10	13.45001714
11	13.24853746
12	13.01603057
13	12.80521704
14	12.58238728
15	12.40515223
16	12.19516702
17	12.00089792
18	11.83460489
19	11.65142985
20	11.4601597
21	11.29044291
22	11.11146952
23	10.95346151
24	10.83322129
25	10.67228361
26	10.51878426
27	10.37726185
28	10.22875747
29	10.07443164
30	9.934347977
31	9.805552734
32	9.671865425
33	9.543196234
34	9.404209788
35	9.290403386
36	9.168665239
37	9.061443336
38	8.939387214
39	8.850990982
40	8.754565519
41	8.634254475
42	8.543924209
43	8.449824963
44	8.35143683
45	8.26137804
46	8.162526025
47	8.067121316
48	7.992413387
49	7.900775796
50	7.817184539
51	7.752728064
52	7.664782982
53	7.5783433
54	7.511191631
55	7.429830563
56	7.360840385
57	7.289298748
58	7.219894799
59	7.158394199
60	7.091180733
61	7.025814467
62	6.973739967
63	6.919980745
64	6.86588125
65	6.803654552
66	6.751622421
67	6.70169203
68	6.657700593
69	6.605476899
70	6.565176344
71	6.524380819
72	6.472668505
73	6.4210281
74	6.373556135
75	6.339083342
76	6.297758345
77	6.249748908
78	6.207074169
79	6.167022174
80	6.127698585
81	6.096887484
82	6.054862308
83	6.019965555
84	5.984446544
85	5.942160482
86	5.920394688
87	5.887077045
88	5.857305542
89	5.832598054
90	5.802103369
91	5.76720501
92	5.736640277
93	5.706046247
94	5.673900086
95	5.645654041
96	5.615920505
97	5.590294546
98	5.556389471
99	5.528430236
100	5.505417061
101	5.479831025
102	5.45829201
103	5.438145116
104	5.408739844
105	5.386721318
106	5.365957192
107	5.349551603
108	5.322916202
109	5.299035837
110	5.280989368
111	5.263157794
112	5.245641844
113	5.223652326
114	5.209142195
115	5.17951206
116	5.159681284
117	5.143136677
118	5.128498817
119	5.111977373
120	5.090559995
121	5.068879646
122	5.044104039
123	5.027291976
124	5.006024469
125	4.987200248
126	4.964980897
127	4.941482164
128	4.92319837
129	4.907526851
130	4.888235941
131	4.873005941
132	4.856003644
133	4.840404918
134	4.823650147
135	4.8032937
136	4.785298092
137	4.76940832
138	4.750027077
139	4.72840903
140	4.712846463
141	4.7022928
142	4.689493223
143	4.668371478
144	4.65692947
145	4.64431004
146	4.629260068
147	4.613118228
148	4.603112672
149	4.593303751
150	4.577982206
151	4.567934887
152	4.553360539
153	4.540455977
154	4.522256396
155	4.510185677
156	4.496744345
157	4.4843178
158	4.471420141
159	4.461296167
160	4.448886874
161	4.438501586
162	4.432103209
163	4.418878624
164	4.407542098
165	4.401898523
166	4.394587139
167	4.383138406
168	4.374021375
169	4.36396605
170	4.353784279
171	4.346981435
172	4.34039778
173	4.331313796
174	4.319455751
175	4.312063347
176	4.300447091
177	4.289251156
178	4.27877163
179	4.263934184
180	4.25431744
181	4.247292686
182	4.235637498
183	4.223784983
184	4.212561696
185	4.201133218
186	4.189859639
187	4.178528779
188	4.169545596
189	4.16254555
190	4.153005595
191	4.144552562
192	4.135104077
193	4.12266444
194	4.117736537
195	4.102357656
196	4.095214592
197	4.086865363
198	4.081963208
199	4.072385866
200	4.067423234
201	4.059621452
202	4.047463697
203	4.038273818
204	4.028929304
205	4.024639098
206	4.016302109
207	4.00801307
208	3.998799524
209	3.99357729
210	3.981196999
211	3.969803972
212	3.960185024
213	3.950727564
214	3.941643436
215	3.929392976
216	3.921128388
217	3.914585549
218	3.907620884
219	3.901317375
220	3.895353273
221	3.883554878
222	3.87215237
223	3.866705127
224	3.860568018
225	3.854665816
226	3.848156066
227	3.842938891
228	3.837771637
229	3.829816489
230	3.822327851
231	3.814758294
232	3.805821464
233	3.800406356
234	3.795144932
235	3.789062853
236	3.782180551
237	3.77552111
238	3.767388452
239	3.758927072
240	3.749294451
241	3.740735696
242	3.734377528
243	3.727326207
244	3.717431598
245	3.712567476
246	3.708953994
247	3.701154644
248	3.695666877
249	3.687760244
250	3.68099653
251	3.673956795
252	3.666931207
253	3.660229563
254	3.654755434
255	3.648421905
256	3.644246766
257	3.639952004
258	3.634623911
259	3.631254474
260	3.625635388
261	3.617320842
262	3.610394398
263	3.606163057
264	3.601324696
265	3.597151554
266	3.590102378
267	3.584793959
268	3.579215688
269	3.572471735
270	3.566148856
271	3.561922349
272	3.556942576
273	3.550098913
274	3.545113372
275	3.535018066
276	3.530893135
277	3.522962376
278	3.515379225
279	3.509707076
280	3.502117099
281	3.4915191
282	3.484478482
283	3.478812194
284	3.473194218
285	3.467030018
286	3.46181673
287	3.457665865
288	3.451711165
289	3.444277478
290	3.438324105
291	3.432602547
292	3.4296579
293	3.426121169
294	3.421307129
295	3.415409888
296	3.41046632
297	3.402076132
298	3.38874232
299	3.383921666
300	3.376151968
301	3.369410347
302	3.364322506
303	3.357928139
304	3.351039106
305	3.347271082
306	3.344104369
307	3.340175415
308	3.3365306
309	3.329780555
310	3.325598956
311	3.319713573
312	3.312987334
313	3.308139733
314	3.304804828
315	3.300279155
316	3.295407988
317	3.291785532
318	3.285743533
319	3.281342324
320	3.275479943
321	3.27096981
322	3.268371747
323	3.265007345
324	3.262722706
325	3.259338437
326	3.255293926
327	3.250601576
328	3.244424472
329	3.240016969
330	3.236305182
331	3.230412612
332	3.224350704
333	3.220874189
334	3.216085801
335	3.209930912
336	3.204401068
337	3.19748252
338	3.190813536
339	3.185178222
340	3.178187726
341	3.174784801
342	3.172676783
343	3.166741976
344	3.162940996
345	3.156054625
346	3.150424149
347	3.147893745
348	3.143888776
349	3.139183466
350	3.135542143
351	3.129291187
352	3.125157002
353	3.120196288
354	3.115673868
355	3.11378929
356	3.111048554
357	3.108106842
358	3.104951486
359	3.100915049
360	3.09767666
361	3.093764914
362	3.088291457
363	3.082145281
364	3.080575854
365	3.07757126
366	3.073326986
367	3.071518168
368	3.068455951
369	3.067142022
370	3.062915126
371	3.058361501
372	3.053750536
373	3.049065037
374	3.04358738
375	3.040378749
376	3.036001591
377	3.034880496
378	3.029034633
379	3.021759751
380	3.017195352
381	3.014095433
382	3.010651985
383	3.006674823
384	3.003022282
385	2.999336557
386	2.994862378
387	2.990925341
388	2.98719009
389	2.983093379
390	2.978447999
391	2.974563854
392	2.971226127
393	2.968778617
394	2.96729683
395	2.965982219
396	2.961262811
397	2.959311772
398	2.953546105
399	2.948881878
400	2.944460929
401	2.93979136
402	2.936920843
403	2.935475486
404	2.932962976
405	2.931388261
406	2.927868257
407	2.922251139
408	2.919450972
409	2.917064802
410	2.912996741
411	2.908689055
412	2.906065789
413	2.898820841
414	2.897838357
415	2.893902794
416	2.890461098
417	2.888063286
418	2.884989272
419	2.882058292
420	2.878259563
421	2.874687915
422	2.869791422
423	2.864166684
424	2.86091292
425	2.857512404
426	2.85362032
427	2.850011083
428	2.845723434
429	2.840938327
430	2.837392853
431	2.833457034
432	2.83195785
433	2.828265121
434	2.825730229
435	2.82310463
436	2.820535985
