iter	Passed	Remaining
0	2	2789
1	5	2642
2	7	2482
3	10	2515
4	12	2428
5	14	2473
6	17	2414
7	18	2328
8	20	2253
9	23	2351
10	25	2315
11	27	2242
12	30	2278
13	32	2273
14	33	2211
15	35	2181
16	37	2156
17	38	2120
18	40	2086
19	41	2055
20	45	2114
21	47	2101
22	49	2112
23	51	2090
24	52	2065
25	54	2045
26	56	2038
27	57	2009
28	60	2031
29	62	2016
30	64	2001
31	65	1983
32	67	1985
33	69	1986
34	71	1973
35	73	1961
36	77	2006
37	79	2001
38	80	1994
39	83	2007
40	85	1995
41	86	1979
42	88	1969
43	91	1996
44	94	1998
45	95	1983
46	96	1966
47	98	1949
48	99	1940
49	101	1928
50	102	1909
51	103	1890
52	106	1910
53	108	1894
54	109	1880
55	110	1865
56	111	1849
57	112	1834
58	114	1818
59	115	1803
60	116	1791
61	119	1801
62	120	1796
63	122	1787
64	123	1782
65	125	1769
66	126	1756
67	127	1743
68	128	1734
69	129	1726
70	131	1715
71	132	1706
72	134	1704
73	136	1709
74	137	1698
75	138	1688
76	139	1677
77	141	1666
78	143	1669
79	144	1659
80	145	1650
81	146	1641
82	148	1637
83	151	1654
84	153	1647
85	154	1638
86	155	1636
87	157	1628
88	158	1619
89	159	1610
90	160	1601
91	162	1604
92	164	1601
93	166	1602
94	167	1600
95	170	1601
96	171	1595
97	172	1590
98	174	1589
99	176	1588
100	177	1582
101	181	1594
102	183	1595
103	184	1590
104	186	1587
105	188	1592
106	190	1591
107	192	1589
108	194	1590
109	197	1598
110	198	1593
111	200	1591
112	202	1589
113	203	1585
114	205	1579
115	208	1590
116	212	1604
117	214	1601
118	215	1596
119	217	1591
120	218	1586
121	220	1586
122	222	1583
123	223	1578
124	224	1574
125	228	1587
126	230	1585
127	232	1581
128	233	1578
129	235	1574
130	236	1569
131	238	1565
132	239	1561
133	250	1616
134	255	1634
135	261	1660
136	263	1657
137	269	1684
138	271	1683
139	276	1698
140	278	1696
141	280	1692
142	281	1687
143	283	1682
144	284	1676
145	285	1671
146	287	1665
147	290	1669
148	292	1667
149	293	1664
150	295	1659
151	297	1657
152	299	1655
153	300	1651
154	302	1646
155	304	1648
156	306	1646
157	308	1643
158	310	1641
159	312	1638
160	313	1634
161	315	1629
162	316	1624
163	317	1620
164	321	1625
165	322	1621
166	324	1618
167	326	1617
168	328	1617
169	330	1613
170	331	1608
171	333	1603
172	337	1611
173	338	1607
174	340	1604
175	341	1600
176	343	1595
177	344	1591
178	346	1587
179	347	1583
180	348	1578
181	351	1579
182	352	1574
183	354	1570
184	355	1565
185	357	1563
186	359	1561
187	360	1556
188	361	1552
189	362	1547
190	364	1542
191	366	1542
192	368	1539
193	369	1535
194	371	1532
195	373	1530
196	374	1526
197	376	1523
198	377	1518
199	378	1514
200	381	1516
201	382	1512
202	384	1508
203	385	1503
204	387	1504
205	389	1500
206	390	1496
207	391	1491
208	393	1487
209	394	1482
210	397	1487
211	399	1485
212	400	1480
213	403	1481
214	404	1478
215	406	1474
216	407	1470
217	408	1466
218	410	1462
219	412	1463
220	414	1460
221	418	1466
222	420	1464
223	421	1461
224	423	1457
225	424	1454
226	426	1451
227	427	1448
228	429	1447
229	431	1445
230	434	1445
231	435	1443
232	437	1440
233	438	1436
234	442	1440
235	444	1438
236	448	1444
237	450	1441
238	452	1439
239	453	1435
240	455	1433
241	457	1432
242	458	1428
243	460	1425
244	461	1423
245	463	1421
246	464	1417
247	466	1413
248	467	1409
249	468	1405
250	471	1406
251	472	1403
252	473	1399
253	475	1395
254	476	1393
255	478	1390
256	479	1387
257	481	1383
258	482	1380
259	483	1376
260	485	1375
261	487	1374
262	489	1370
263	490	1366
264	491	1364
265	493	1362
266	495	1359
267	496	1355
268	497	1351
269	499	1349
270	501	1349
271	503	1346
272	504	1344
273	505	1340
274	507	1338
275	509	1337
276	511	1334
277	512	1330
278	513	1327
279	514	1323
280	517	1322
